Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2/28/19,38654,MS,Memphis,DeSoto County,Olive Branch,625,1473,0.00408998,0.029350105,0.034410112,16732
2/28/19,7728,NJ,New York-Newark-Jersey City,Monmouth County,Freehold,626,2306,-0.002163566,0,0.023978686,19149
2/28/19,91801,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Alhambra,627,2544,0.001180638,0.014354067,0.018822587,10713
2/28/19,94086,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Sunnyvale,628,3845,0.000260146,0.00812795,0.016120507,8897
2/28/19,94591,CA,Vallejo-Fairfield,Solano County,Vallejo,629,2402,0.006284039,0.029134533,0.05397104,18208
2/28/19,19380,PA,Philadelphia-Camden-Wilmington,Chester County,West Chester,630,2251,-0.005302696,0.009869897,0.034466912,16903
2/28/19,91331,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,631,2676,0.00412758,0.022154316,0.064439141,16723
2/28/19,30907,GA,Augusta-Richmond County,Columbia County,Martinez,632,1118,-0.003565062,-0.018437226,-0.019298246,16396
2/28/19,30144,GA,Atlanta-Sandy Springs-Roswell,Cobb County,Kennesaw,633,1494,0.002012072,0.020491803,0.036061026,15539
2/28/19,45040,OH,Cincinnati,Warren County,Mason,634,1940,-0.001029866,0.030270844,0.029723992,16911
2/28/19,72034,AR,Little Rock-North Little Rock-Conway,Faulkner County,Conway,635,1163,0.005185825,0.060164084,0.013949433,13498
2/28/19,32839,FL,Orlando-Kissimmee-Sanford,Orange County,Orlando,636,1291,0.007806401,0.050447518,0.079431438,10530
2/28/19,70065,LA,New Orleans-Metairie,Jefferson Parish,Kenner,637,1456,0.004137931,0.027522936,0.025352113,14108
2/28/19,23456,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,Virginia Beach,638,1930,0.001037344,-0.000517866,0.005208333,20410
2/28/19,76051,TX,Dallas-Fort Worth-Arlington,Tarrant County,Grapevine,639,2321,-0.000860956,0.003025065,0.022016733,12102
